taxon_name_original,CHECK,species,famille,genre,espece,taxon_name,phytochemical_diversity_full,div_group,Aternative,comm
Anthyllis vulneraria,ok,anthyllis_vulneraria,Fabaceae,Anthyllis,vulneraria,Anthyllis vulneraria,3008,top,,
Thymus serpyllum,ok,thymus_serpyllum,Lamiaceae,Thymus,serpyllum,Thymus serpyllum,2603,top,,
Stachys officinalis,ok,stachys_officinalis,Lamiaceae,Stachys,officinalis,Stachys officinalis,2524,top,,
Bupleurum falcatum,non,bupleurum_falcatum,Apiaceae,Bupleurum,falcatum,Bupleurum falcatum,2248,top,,
Vincetoxicum hirundinaria,non,vincetoxicum_hirundinaria,Apocynaceae,Vincetoxicum,hirundinaria,Vincetoxicum hirundinaria,2218,top,,
Stachys recta,ok,stachys_recta,Lamiaceae,Stachys,recta,Stachys recta,2179,top,,
Thalictrum minus,éviter si possible,thalictrum_minus,Ranunculaceae,Thalictrum,minus,Thalictrum minus,2174,top,,
Primula hirsuta,ok,primula_?,Primulaceae,Primula,hirsuta,Primula hirsuta,2164,top,,
Ajuga reptans,ok,ajuga_reptans,Lamiaceae,Ajuga,reptans,Ajuga reptans,2158,top,,
Brachypodium pinnatum,ok,brachypodium_pinnatum,Poaceae,Brachypodium,pinnatum,Brachypodium pinnatum,2112,top,,
Centaurea jacea,ok,centaurea_jacea,Compositae,Centaurea,jacea,Centaurea jacea,2074,top,,
Medicago sativa,non,medicago_sativa,Fabaceae,Medicago,sativa,Medicago sativa,2071,top,Medicago lupulina,invasive
Verbascum nigrum,éviter si possible,verbascum_nigrum,Scrophulariaceae,Verbascum,nigrum,Verbascum nigrum,2013,top,,invasive ?
Origanum vulgare,ok,origanum_vulgare,Lamiaceae,Origanum,vulgare,Origanum vulgare,2003,top,,
Ononis spinosa,ok,ononis_spinosa,Fabaceae,Ononis,spinosa,Ononis spinosa,1982,top,,
Linum alpinum,ok,linum_alpinum,Linaceae,Linum,alpinum,Linum alpinum,1976,top,,
Galium verum,ok,galium_verum,Rubiaceae,Galium,verum,Galium verum,1955,top,,
Potentilla erecta,ok,potentilla_erecta,Rosaceae,Potentilla,erecta,Potentilla erecta,1949,top,P. argentea,n'a vraiment pas la meme ecologie que les autres (acidophile)
Bromus erectus,ok,bromus_erectus,Poaceae,Bromus,erectus,Bromus erectus,1947,top,,
Veronica teucrium,non,veronica_teucrium,Plantaginaceae,Veronica,teucrium,Veronica teucrium,1943,top,,
Potentilla grandiflora,ok,potentilla_grandiflora,Rosaceae,Potentilla,grandiflora,Potentilla grandiflora,1942,top,Potentilla aurea ?,acidophile
Saponaria ocymoides,ok,saponaria_ocymoides,Caryophyllaceae,Saponaria,ocymoides,Saponaria ocymoides,1938,top,,
Achillea millefolium,ok,achillea_millefolium,Asteraceae,Achillea,millefolium,Achillea millefolium,1931,top,,
Saxifraga paniculata,ok,saxifraga_?,Saxifragaceae,Saxifraga,paniculata,Saxifraga paniculata,703,bottom,,
Geranium sanguineum,non,geranium_sanguineum,Geraniaceae,Geranium,sanguineum,Geranium sanguineum,807,bottom,,
Luzula sylvatica,ok,luzula_?,Juncaceae,Luzula,sylvatica,Luzula sylvatica,993,bottom,,
Sesleria caerulea,ok,sesleria_caerulea,Poaceae,Sesleria,caerulea,Sesleria caerulea,1010,bottom,,
Festuca valesiaca,ok,festuca_valesiaca,Poaceae,Festuca,valesiaca,Festuca valesiaca,1016,bottom,,
Sempervivum tectorum,ok,sempervivum_tectorum,Crassulaceae,Sempervivum,tectorum,Sempervivum tectorum,1041,bottom,,
Alchemilla conjuncta,ok,alchemilla_conjuncta,Rosaceae,Alchemilla,conjuncta,Alchemilla conjuncta,1124,bottom,,
Festuca arundinacea,ok,festuca_arundinacea,Poaceae,Festuca,arundinacea,Festuca arundinacea,1181,bottom,,
Dianthus carthusianorum,non,dianthus_carthusianorum,Caryophyllaceae,Dianthus,carthusianorum,Dianthus carthusianorum,1184,bottom,,
Sedum sexangulare,ok,sedum_sexangulare,Crassulaceae,Sedum,sexangulare,Sedum sexangulare,1195,bottom,,boutures ?
Mercurialis perennis,ok,mercurialis_perennis,Euphorbiaceae,Mercurialis,perennis,Mercurialis perennis,1202,bottom,,
Melica ciliata,ok,melica_ciliata,Poaceae,Melica,ciliata,Melica ciliata,1212,bottom,,
Festuca laevigata,non,festuca_laevigata,Poaceae,Festuca,laevigata,Festuca laevigata,1230,bottom,,
Tussilago farfara,ok,tussilago_farfara,Compositae,Tussilago,farfara,Tussilago farfara,1240,bottom,,
Stachys sylvatica,ok,stachys_sylvatica,Lamiaceae,Stachys,sylvatica,Stachys sylvatica,1250,bottom,,
Hieracium villosum,ok,hieracium_villosum,Asteraceae,Hieracium,villosum,Hieracium villosum,1251,bottom,,
Festuca ovina,ok,festuca_ovina,Poaceae,Festuca,ovina,Festuca ovina,1262,bottom,,
Hieracium murorum,ok,hieracium_murorum,Asteraceae,Hieracium,murorum,Hieracium murorum,1266,bottom,,
Koeleria vallesiana,non,koeleria_vallesiana,Poaceae,Koeleria,vallesiana,Koeleria vallesiana,1268,bottom,,
Primula veris,ok,primula_veris,Primulaceae,Primula,veris,Primula veris,1271,bottom,,
Stipa pennata,ok,stipa_pennata,Poaceae,Stipa,pennata,Stipa pennata,1282,bottom,,
Polygonum bistorta,ok,polygonum_bistorta,Polygonaceae,Polygonum,bistorta,Polygonum bistorta,1285,bottom,,
