Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.41215,Exact,0,Anthyllis vulneraria,Anthyllis vulneraria L.,Anthyllis vulneraria,5VK74,Anthyllis vulneraria L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Anthyllis|Anthyllis vulneraria,
BestMatch,9.41215,Exact,0,Thymus serpyllum,Thymus serpyllum L.,Thymus serpyllum,56RDY,Thymus serpyllum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Nepetoideae|Mentheae|Menthinae|Thymus|Thymus serpyllum,
BestMatch,9.41180,Exact,0,Stachys officinalis,Stachys officinalis (L.) Trevis.,Stachys officinalis,4ZFSZ,Betonica officinalis subsp. officinalis,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lamioideae|Betoniceae|Betonica|Betonica officinalis|Betonica officinalis officinalis,
BestMatch,9.41215,Exact,0,Bupleurum falcatum,Bupleurum falcatum L.,Bupleurum falcatum,NVNV,Bupleurum falcatum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Bupleurum|Bupleurum falcatum,
BestMatch,9.41215,Exact,0,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria Medik.,Vincetoxicum hirundinaria,7FRQX,Vincetoxicum hirundinaria Medik.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Asclepiadoideae|Asclepiadeae|Tylophorinae|Vincetoxicum|Vincetoxicum hirundinaria,
BestMatch,9.41215,Exact,0,Stachys recta,Stachys recta L.,Stachys recta,4ZFVT,Stachys recta L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lamioideae|Stachydeae|Stachys|Stachys recta,
BestMatch,9.41215,Exact,0,Thalictrum minus,Thalictrum minus L.,Thalictrum minus,562CN,Thalictrum minus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Thalictroideae|Thalictrum|Thalictrum minus,
BestMatch,9.41215,Exact,0,Primula hirsuta,Primula hirsuta All.,Primula hirsuta,4MCWD,Primula hirsuta All.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Primuloideae|Primula|Primula hirsuta,
BestMatch,9.41215,Exact,0,Ajuga reptans,Ajuga reptans L.,Ajuga reptans,65V5Y,Ajuga reptans L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Ajugoideae|Ajugeae|Ajuginae|Ajuga|Ajuga reptans,
BestMatch,9.41215,Exact,0,Brachypodium pinnatum,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum,MYMG,Brachypodium pinnatum (L.) P.Beauv.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Brachypodium|Brachypodium pinnatum,
BestMatch,9.41215,Exact,0,Centaurea jacea,Centaurea jacea L.,Centaurea jacea,S6S6,Centaurea jacea L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Carduoideae|Cardueae|Centaureinae|Centaurea|Centaurea jacea,
BestMatch,9.41215,Exact,0,Medicago sativa,Medicago sativa L.,Medicago sativa,3YNPB,Medicago sativa L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|Medicago sativa,
BestMatch,9.41215,Exact,0,Verbascum nigrum,Verbascum nigrum L.,Verbascum nigrum,7G2DQ,Verbascum nigrum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Scrophulariaceae|Scrophularieae|Verbascum|Verbascum nigrum,
BestMatch,9.41215,Exact,0,Origanum vulgare,Origanum vulgare L.,Origanum vulgare,6T7B5,Origanum vulgare L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Nepetoideae|Mentheae|Menthinae|Origanum|Origanum vulgare,
BestMatch,9.41215,Exact,0,Ononis spinosa,Ononis spinosa L.,Ononis spinosa,49LF6,Ononis spinosa L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Ononis|Ononis spinosa,
BestMatch,9.41215,Exact,0,Linum alpinum,Linum alpinum Jacq.,Linum alpinum,3V4LS,Linum alpinum Jacq.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Linaceae|Lineae|Linum|Linum alpinum,
BestMatch,9.41215,Exact,0,Galium verum,Galium verum L.,Galium verum,3F6PX,Galium verum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Rubioideae|Rubieae|Galiinae|Galium|Galium verum,
BestMatch,9.41215,Exact,0,Potentilla erecta,Potentilla erecta (L.) Raeusch.,Potentilla erecta,6VVPW,Potentilla erecta (L.) Raeusch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Potentilleae|Potentillinae|Potentilla|Potentilla erecta,
BestMatch,9.41215,Exact,0,Bromus erectus,Bromus erectus Huds.,Bromus erectus,NCYR,Bromus erectus Huds.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Bromus|Bromus erectus,
BestMatch,9.41215,Exact,0,Veronica teucrium,Veronica teucrium L.,Veronica teucrium,5B7FG,Veronica teucrium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Digitalidoideae|Veroniceae|Veronica|Veronica teucrium,
BestMatch,9.41215,Exact,0,Potentilla grandiflora,Potentilla grandiflora L.,Potentilla grandiflora,78829,Potentilla grandiflora L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Potentilleae|Potentillinae|Potentilla|Potentilla grandiflora,
BestMatch,9.41215,Exact,0,Saponaria ocymoides,Saponaria ocymoides L.,Saponaria ocymoides,79L79,Saponaria ocymoides L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Caryophylleae|Caryophyllinae|Saponaria|Saponaria ocymoides,
BestMatch,9.41215,Exact,0,Achillea millefolium,Achillea millefolium L.,Achillea millefolium,97H4,Achillea millefolium L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Anthemideae|Matricariinae|Achillea|Achillea millefolium,
BestMatch,9.41215,Exact,0,Saxifraga paniculata,Saxifraga paniculata Mill.,Saxifraga paniculata,6Y37B,Saxifraga paniculata Mill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Saxifrageae|Saxifraga|Saxifraga paniculata,
BestMatch,9.41215,Exact,0,Geranium sanguineum,Geranium sanguineum L.,Geranium sanguineum,3FV5W,Geranium sanguineum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Geraniales|Geraniaceae|Geranium|Geranium sanguineum,
BestMatch,9.41215,Exact,0,Luzula sylvatica,Luzula sylvatica (Huds.) Gaudin,Luzula sylvatica,3WHKH,Luzula sylvatica (Huds.) Gaudin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Juncaceae|Luzula|Luzula sylvatica,
BestMatch,9.41215,Exact,0,Sesleria caerulea,Sesleria caerulea (L.) Ard.,Sesleria caerulea,4WZRY,Sesleria caerulea (L.) Ard.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Sesleria|Sesleria caerulea,
BestMatch,9.41215,Exact,0,Festuca valesiaca,Festuca valesiaca Schleich. ex Gaudin,Festuca valesiaca,6HTG5,Festuca valesiaca Schleich. ex Gaudin,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Festuca|Festuca valesiaca,
BestMatch,9.41215,Exact,0,Sempervivum tectorum,Sempervivum tectorum L.,Sempervivum tectorum,4WJ47,Sempervivum tectorum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Sempervivoideae|Semperviveae|Sempervivum|Sempervivum tectorum,
BestMatch,9.41215,Exact,0,Alchemilla conjuncta,Alchemilla conjuncta Bab.,Alchemilla conjuncta,5TVVV,Alchemilla conjuncta Bab.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rosoideae|Potentilleae|Fragariinae|Alchemilla|Alchemilla conjuncta,
BestMatch,9.41180,Exact,0,Festuca arundinacea,Festuca arundinacea Schreb.,Festuca arundinacea,6HRRJ,Lolium arundinaceum (Schreb.) Darbysh.,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Lolium|Lolium arundinaceum,
