taxon_name_original
Anthyllis vulneraria
Thymus serpyllum
Stachys officinalis
Bupleurum falcatum
Vincetoxicum hirundinaria
Stachys recta
Thalictrum minus
Primula hirsuta
Ajuga reptans
Brachypodium pinnatum
Centaurea jacea
Medicago sativa
Verbascum nigrum
Origanum vulgare
Ononis spinosa
Linum alpinum
Galium verum
Potentilla erecta
Bromus erectus
Veronica teucrium
Potentilla grandiflora
Saponaria ocymoides
Achillea millefolium
Saxifraga paniculata
Geranium sanguineum
Luzula sylvatica
Sesleria caerulea
Festuca valesiaca
Sempervivum tectorum
Alchemilla conjuncta
Festuca arundinacea
Dianthus carthusianorum
Sedum sexangulare
Mercurialis perennis
Melica ciliata
Festuca laevigata
Tussilago farfara
Stachys sylvatica
Hieracium villosum
Festuca ovina
Hieracium murorum
Koeleria vallesiana
Primula veris
Stipa pennata
Polygonum bistorta
