taxon_name_original,CHECK,species,famille,genre,espece,taxon_name,phytochemical_diversity_full,div_group,Aternative,comm,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Anthyllis vulneraria,ok,anthyllis_vulneraria,Fabaceae,Anthyllis,vulneraria,Anthyllis vulneraria,3008,top,,,BestMatch,9.41215,Exact,0,Anthyllis vulneraria,Anthyllis vulneraria L.,Anthyllis vulneraria,5VK74,Anthyllis vulneraria L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Anthyllis|Anthyllis vulneraria,
Thymus serpyllum,ok,thymus_serpyllum,Lamiaceae,Thymus,serpyllum,Thymus serpyllum,2603,top,,,BestMatch,9.41215,Exact,0,Thymus serpyllum,Thymus serpyllum L.,Thymus serpyllum,56RDY,Thymus serpyllum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Nepetoideae|Mentheae|Menthinae|Thymus|Thymus serpyllum,
Stachys officinalis,ok,stachys_officinalis,Lamiaceae,Stachys,officinalis,Stachys officinalis,2524,top,,,BestMatch,9.41180,Exact,0,Stachys officinalis,Stachys officinalis (L.) Trevis.,Stachys officinalis,4ZFSZ,Betonica officinalis subsp. officinalis,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lamioideae|Betoniceae|Betonica|Betonica officinalis|Betonica officinalis officinalis,
Bupleurum falcatum,non,bupleurum_falcatum,Apiaceae,Bupleurum,falcatum,Bupleurum falcatum,2248,top,,,BestMatch,9.41215,Exact,0,Bupleurum falcatum,Bupleurum falcatum L.,Bupleurum falcatum,NVNV,Bupleurum falcatum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Bupleurum|Bupleurum falcatum,
Vincetoxicum hirundinaria,non,vincetoxicum_hirundinaria,Apocynaceae,Vincetoxicum,hirundinaria,Vincetoxicum hirundinaria,2218,top,,,BestMatch,9.41215,Exact,0,Vincetoxicum hirundinaria,Vincetoxicum hirundinaria Medik.,Vincetoxicum hirundinaria,7FRQX,Vincetoxicum hirundinaria Medik.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Gentianales|Apocynaceae|Asclepiadoideae|Asclepiadeae|Tylophorinae|Vincetoxicum|Vincetoxicum hirundinaria,
Stachys recta,ok,stachys_recta,Lamiaceae,Stachys,recta,Stachys recta,2179,top,,,BestMatch,9.41215,Exact,0,Stachys recta,Stachys recta L.,Stachys recta,4ZFVT,Stachys recta L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Lamioideae|Stachydeae|Stachys|Stachys recta,
Thalictrum minus,éviter si possible,thalictrum_minus,Ranunculaceae,Thalictrum,minus,Thalictrum minus,2174,top,,,BestMatch,9.41215,Exact,0,Thalictrum minus,Thalictrum minus L.,Thalictrum minus,562CN,Thalictrum minus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Thalictroideae|Thalictrum|Thalictrum minus,
Primula hirsuta,ok,primula_?,Primulaceae,Primula,hirsuta,Primula hirsuta,2164,top,,,BestMatch,9.41215,Exact,0,Primula hirsuta,Primula hirsuta All.,Primula hirsuta,4MCWD,Primula hirsuta All.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Primuloideae|Primula|Primula hirsuta,
Ajuga reptans,ok,ajuga_reptans,Lamiaceae,Ajuga,reptans,Ajuga reptans,2158,top,,,BestMatch,9.41215,Exact,0,Ajuga reptans,Ajuga reptans L.,Ajuga reptans,65V5Y,Ajuga reptans L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Lamiaceae|Ajugoideae|Ajugeae|Ajuginae|Ajuga|Ajuga reptans,
Brachypodium pinnatum,ok,brachypodium_pinnatum,Poaceae,Brachypodium,pinnatum,Brachypodium pinnatum,2112,top,,,BestMatch,9.41215,Exact,0,Brachypodium pinnatum,Brachypodium pinnatum (L.) P.Beauv.,Brachypodium pinnatum,MYMG,Brachypodium pinnatum (L.) P.Beauv.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Brachypodium|Brachypodium pinnatum,
